,Learning rates,Number of leaf nodes,Number of trees,MSE
0,0.01,2.0,1.0,1097084.777576058
1,0.01,2.0,6.0,1094569.72244482
2,0.01,2.0,12.0,1065817.4997172905
3,0.01,2.0,17.0,1069947.8750108017
4,0.01,2.0,22.0,1018117.31834591
5,0.01,2.0,27.0,1034039.3825783088
6,0.01,2.0,33.0,1067525.2426538887
7,0.01,2.0,38.0,1025167.25760536
8,0.01,2.0,43.0,1028777.3215068863
9,0.01,2.0,48.0,1044319.0399978445
10,0.01,2.0,54.0,1026630.635777004
11,0.01,2.0,59.0,1030549.7155715934
12,0.01,2.0,64.0,1034548.1026896875
13,0.01,2.0,69.0,1030518.9859637469
14,0.01,2.0,75.0,1054739.6329983377
15,0.01,2.0,80.0,1034193.9949500862
16,0.01,2.0,85.0,1034991.140837034
17,0.01,2.0,90.0,1045580.5633481968
18,0.01,2.0,96.0,1040020.6101835583
19,0.01,2.0,101.0,1063231.2082412043
20,0.01,7.0,1.0,1097369.883064289
21,0.01,7.0,6.0,349070.80657104205
22,0.01,7.0,12.0,355077.56549085677
23,0.01,7.0,17.0,398179.1006921146
24,0.01,7.0,22.0,354918.8491842842
25,0.01,7.0,27.0,316685.6819664134
26,0.01,7.0,33.0,390252.55516258127
27,0.01,7.0,38.0,283102.5432540406
28,0.01,7.0,43.0,283497.0436972174
29,0.01,7.0,48.0,289574.5810438263
30,0.01,7.0,54.0,308835.0334112927
31,0.01,7.0,59.0,281841.85466084676
32,0.01,7.0,64.0,290416.89637298265
33,0.01,7.0,69.0,268904.3495574918
34,0.01,7.0,75.0,286747.2965750727
35,0.01,7.0,80.0,283603.4486273954
36,0.01,7.0,85.0,290512.61314947275
37,0.01,7.0,90.0,302645.63878571475
38,0.01,7.0,96.0,285559.95484066417
39,0.01,7.0,101.0,277528.55646600807
40,0.01,12.0,1.0,477831.540635065
41,0.01,12.0,6.0,208427.24515007526
42,0.01,12.0,12.0,207404.99915120273
43,0.01,12.0,17.0,165526.18741119106
44,0.01,12.0,22.0,176135.2556610869
45,0.01,12.0,27.0,185670.82273446416
46,0.01,12.0,33.0,184529.59970904354
47,0.01,12.0,38.0,167329.23002820634
48,0.01,12.0,43.0,186771.80257617554
49,0.01,12.0,48.0,197512.23722913893
50,0.01,12.0,54.0,187838.57121103388
51,0.01,12.0,59.0,169806.09216100138
52,0.01,12.0,64.0,171099.5735746069
53,0.01,12.0,69.0,197552.7905182922
54,0.01,12.0,75.0,177587.68316227663
55,0.01,12.0,80.0,180365.01372576595
56,0.01,12.0,85.0,182722.35346802062
57,0.01,12.0,90.0,189818.47024964224
58,0.01,12.0,96.0,167836.63227452882
59,0.01,12.0,101.0,179257.57165934512
60,0.01,18.0,1.0,165173.34063466956
