,Learning rates,Number of leaf nodes,Number of trees,MSE
0,0.01,2.0,1.0,1814415.1282828506
1,0.01,2.0,6.0,1746841.849015225
2,0.01,2.0,12.0,1673051.298144661
3,0.01,2.0,17.0,1616448.79391676
4,0.01,2.0,22.0,1563736.8568779293
5,0.01,2.0,27.0,1516921.5147245445
6,0.01,2.0,33.0,1467301.665847396
7,0.01,2.0,38.0,1429808.6983927207
8,0.01,2.0,43.0,1395018.5868229924
9,0.01,2.0,48.0,1362302.1217378455
10,0.01,2.0,54.0,1325564.2349655384
11,0.01,2.0,59.0,1297694.289547635
12,0.01,2.0,64.0,1274341.9590581006
13,0.01,2.0,69.0,1251969.7325585878
14,0.01,2.0,75.0,1226967.941264287
15,0.01,2.0,80.0,1206091.757034119
16,0.01,2.0,85.0,1184408.9344626407
17,0.01,2.0,90.0,1163413.0250354973
18,0.01,2.0,96.0,1136660.703981612
19,0.01,2.0,101.0,1118433.0118347364
20,0.01,7.0,1.0,1801964.242373113
21,0.01,7.0,6.0,1675412.7266407213
22,0.01,7.0,12.0,1541304.6500816103
23,0.01,7.0,17.0,1435497.3692830128
24,0.01,7.0,22.0,1338368.4719459023
25,0.01,7.0,27.0,1248049.7775063592
26,0.01,7.0,33.0,1147635.0922411154
27,0.01,7.0,38.0,1069025.0095312651
28,0.01,7.0,43.0,993245.0460614873
29,0.01,7.0,48.0,930975.1356202117
30,0.01,7.0,54.0,859801.9373433795
31,0.01,7.0,59.0,809719.2635816955
32,0.01,7.0,64.0,760803.5715746162
33,0.01,7.0,69.0,712408.6985933349
34,0.01,7.0,75.0,662728.2274346302
35,0.01,7.0,80.0,625612.388943623
36,0.01,7.0,85.0,591780.5534862686
37,0.01,7.0,90.0,560211.51496426
38,0.01,7.0,96.0,525946.1133486469
39,0.01,7.0,101.0,501694.2838440926
40,0.01,12.0,1.0,1802026.9073922234
41,0.01,12.0,6.0,1674714.7484374957
42,0.01,12.0,12.0,1538257.0017102733
43,0.01,12.0,17.0,1431641.295552629
44,0.01,12.0,22.0,1332855.9327441212
45,0.01,12.0,27.0,1243787.595757362
46,0.01,12.0,33.0,1139831.7245820917
47,0.01,12.0,38.0,1061397.1945360508
48,0.01,12.0,43.0,988781.2156858997
49,0.01,12.0,48.0,926634.207509578
50,0.01,12.0,54.0,854478.8372895767
51,0.01,12.0,59.0,798940.4433041799
52,0.01,12.0,64.0,748793.5801705645
53,0.01,12.0,69.0,701683.561775291
54,0.01,12.0,75.0,650773.456368586
55,0.01,12.0,80.0,614452.0340184303
56,0.01,12.0,85.0,578998.3391660779
57,0.01,12.0,90.0,548170.5940106161
58,0.01,12.0,96.0,513034.058821048
59,0.01,12.0,101.0,488274.13223148213
60,0.01,18.0,1.0,1802026.9073922234
61,0.01,18.0,6.0,1674714.7484374957
62,0.01,18.0,12.0,1538257.0017102733
63,0.01,18.0,17.0,1431641.295552629
64,0.01,18.0,22.0,1332855.9327441212
65,0.01,18.0,27.0,1243787.595757362
66,0.01,18.0,33.0,1139831.7245820917
67,0.01,18.0,38.0,1061397.1945360508
68,0.01,18.0,43.0,988781.2156858997
69,0.01,18.0,48.0,926634.207509578
70,0.01,18.0,54.0,854478.8372895765
71,0.01,18.0,59.0,798940.4433041802
72,0.01,18.0,64.0,748793.5801705645
73,0.01,18.0,69.0,701683.561775291
74,0.01,18.0,75.0,650773.456368586
75,0.01,18.0,80.0,614452.0340184305
76,0.01,18.0,85.0,578998.3391660779
77,0.01,18.0,90.0,548170.5940106161
78,0.01,18.0,96.0,513034.0588210481
79,0.01,18.0,101.0,488274.13223148213
80,0.01,23.0,1.0,1802026.9073922234
81,0.01,23.0,6.0,1674714.7484374957
82,0.01,23.0,12.0,1538257.0017102733
83,0.01,23.0,17.0,1431641.295552629
84,0.01,23.0,22.0,1332855.9327441212
85,0.01,23.0,27.0,1243787.595757362
86,0.01,23.0,33.0,1139831.7245820917
87,0.01,23.0,38.0,1061397.1945360508
88,0.01,23.0,43.0,988781.2156858997
89,0.01,23.0,48.0,926634.2075095782
90,0.01,23.0,54.0,854478.8372895767
91,0.01,23.0,59.0,798940.4433041802
92,0.01,23.0,64.0,748793.5801705645
93,0.01,23.0,69.0,701683.5617752912
94,0.01,23.0,75.0,650773.4563685858
95,0.01,23.0,80.0,614452.0340184305
96,0.01,23.0,85.0,578998.3391660779
97,0.01,23.0,90.0,548170.5940106161
98,0.01,23.0,96.0,513034.05882104795
99,0.01,23.0,101.0,488274.13223148236
100,0.01,28.0,1.0,1802026.9073922234
101,0.01,28.0,6.0,1674714.7484374957
102,0.01,28.0,12.0,1538257.0017102733
103,0.01,28.0,17.0,1431641.295552629
104,0.01,28.0,22.0,1332855.9327441212
105,0.01,28.0,27.0,1243787.595757362
106,0.01,28.0,33.0,1139831.724582092
107,0.01,28.0,38.0,1061397.1945360508
