,MSE Ada test,MSE Grad test
0,248042.7235616135,1156114.7808150307
1,138903.81155674707,694076.0235205083
2,58984.22803454193,479512.95330331894
3,63050.69430633638,364244.1122762127
4,47436.40041802602,289284.2190723157
5,50416.69859892297,217893.97564605836
6,48520.24460818867,157251.7481963697
7,46824.52857528178,132150.25881659804
8,52913.676754163695,102316.9221227248
9,46915.06644056829,84464.91135138347
10,48264.66676170675,75080.51549707813
11,45033.80269758853,66542.64326102691
12,36584.567119093736,62918.68286964444
13,43256.13611655404,53538.1970495867
14,45578.585546974165,47419.34698734485
15,48500.23842822902,39537.782361306876
16,50497.32891016523,33668.28120758778
17,43122.426372785194,32221.696243853898
18,39601.04941250101,28965.098648940013
19,33535.48830700334,27265.36187216977
20,47515.67863831441,26516.91422818785
21,41935.04141728178,25332.519876758706
22,47679.97074276362,24591.72494258485
23,43590.793194601814,24170.411047077334
24,45967.033599670685,24251.131277847715
25,42599.769699947625,24287.8445478399
26,39193.19448102381,23389.719926356644
27,41625.16197920984,22979.921832768832
28,40701.79335153184,22481.145564101167
29,34269.85481029986,21511.415371706356
30,39785.18979365964,21551.04493976767
31,42533.72415648246,21014.212384020277
32,41712.29836809232,20567.94142023163
33,31833.661603659344,20547.765043289077
34,42287.028976730704,20586.8605219524
35,39724.24418142181,19876.125387595996
36,34687.85265466366,19026.685940893352
37,40664.83444036836,18957.29268890057
38,43877.80615590295,18818.46593361319
39,38141.79164861064,18593.606871110635
40,39340.98773451082,18528.723352608817
41,39951.00250211581,18366.27184905834
42,40116.929781329425,18266.70547123114
43,40472.71055158219,18215.85276623289
44,39950.07584764744,18456.54036458932
45,43644.45445439579,18171.494221198383
46,41179.19367103538,17864.429587253348
47,39363.96126537217,17750.531749722853
48,38442.34837065326,17802.311878372566
49,39601.60385601428,17402.64577124207
50,35681.52938931965,17243.458052100814
51,39895.55715218826,17332.637686350165
52,38783.56688529634,17094.355087966003
53,33925.198055027395,17436.13119612183
54,38463.946089825025,16946.728075952087
55,41780.707494676724,16647.292799704897
56,35300.28840296475,16709.52453210478
57,40004.30144432677,16759.739314511502
58,40026.08219729457,16889.50228868655
59,38929.084002393276,16836.278650879314
60,38520.72274958493,17014.89511495103
61,39619.58309242283,16913.990594308878
62,39267.23986861663,17147.95945383258
63,38870.92947577341,16798.70299876151
64,38916.99264825312,17141.463391275658
65,38316.95988293145,16824.27223961523
66,39179.473383435296,16662.292971796636
67,39426.17577381997,17048.417474561436
68,39387.3106770024,16625.27825996238
69,38235.80839609693,16999.564707341007
70,38806.185391448926,16848.66826364169
71,38979.87970542656,16974.48833579319
72,38453.82930169168,17188.808108026707
73,38264.23466399595,17143.902669865794
74,37902.70650924003,17181.966752321994
75,39899.91000573507,16732.82775570663
76,38821.761922849546,16511.30402223673
77,38523.879774394605,16865.61622495362
78,38267.86481481284,16582.20751451672
79,37907.93516940069,16817.077651544703
80,34279.39175347471,16626.647125575902
81,38121.245390976415,16482.145064485165
82,37648.587112879635,16639.565025023123
83,39217.96728040503,16460.65160836813
84,38545.76717103442,16680.634729465408
85,38110.04298730328,16517.798856748275
86,39354.52129042945,16473.209179491296
87,39144.4865789475,16587.13928046627
88,37416.49334838563,16322.811862970259
89,37783.318034071555,16488.215373774095
90,38690.34190655876,16347.239839696706
91,37661.64408026798,16130.981797285145
92,30349.985710483088,16414.795916826446
93,35387.742794298094,16084.953255829767
94,37456.92023238067,16044.345128662319
95,37913.92588995173,16016.457394703697
96,39145.362474935726,15785.311069704869
97,37226.4505740732,16026.045284585554
98,38683.14345862812,16003.382379839706
99,38234.96451713139,15745.432818856581
